FID,Planet,planet_norm,Region,Sector,System,Grid,X,Y,arcgis_hash,deleted,Canon,Legends,zm,name0,name1,name2,lat,long,ref,status,CRegion,CRegion_li
19,Iope,iope,Outer Rim,Baxel Sector, ,U-12,14146.2,-3388.49,bbe3c8ce4c40d79abf5f85977ccef7ea8863569adfdb4eae107ad45aba5cb34f,0,0,1,2,iope, , ,-29.1008360795,127.077519473, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
20,Starswarm Cluster,starswarm cluster,Deep Core, , ,L-10,146.34,-599.47,f4b59ab9f22cf1183fa6990b87ad82a18ace25928e700996d77c2b16bd189dab,0,0,1,2,starswarm cluster, , ,-5.37721823818,1.31457902437, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
21,Jerrilek,jerrilek,Deep Core, , ,L-10,29.19,-360.77,476733d84850d19ad781c8b73f6b66288fb22b86a722c16a1d9b910039b72369,0,0,1,2,jerrilek, , ,-3.23909184177,0.262187635714, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
22,Tsoss Beacon,tsoss beacon,Deep Core, , ,L-11,171.13,-1579.61,bd530b0707c87c567cb6ba89c4f93911323b4f90a15742d482f0806ab8d9dd3d,0,0,1,2,tsoss beacon, , ,-14.0469755355,1.53724239556, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
23,Eclipse,eclipse,Deep Core, , ,L-11,1488.68,-2654.1,5bf2b52074eaa0b27365c253666392fe103a945d18176c4f4137395ce85038b5,0,0,1,2,eclipse, , ,-23.182428166,13.3730423719, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
24,Crystan V,crystan v,Deep Core, ,Crystan system,L-12,201.08,-3703.28,4460a3487d8b2bced4e0f435ed26758c61df046cb1d3d7e76bb2b4d9f943d4a1,0,0,1,2,crystan, , ,-31.5415491846,1.80635746236, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
25,Khomm,khomm,Deep Core, , ,L-12,187.61,-3827.06,0462f21077470463ec02c87dce84ed31aff32ae268dd2c0f77918fc1af9a5c44,0,1,1,1,khomm, , ,-32.4843861158,1.6852963714, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
26,Dremulae,dremulae,Deep Core, , ,M-10,1526.48,-1102.89,1c472bb2b5b03218f779fe08490ec8603468a4ba75ecba58ae9d1a7b97e27620,0,0,1,2,dremulae, , ,-9.85846451102,13.7125703048, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
27,Ojom,ojom,Deep Core, , ,M-11,1617.85,-2449.18,6e05506c7a3f5aff5927499e4fa8cc3cb5bdc73cc4b5f452789680145403cc87,0,1,1,1,ojom, , ,-21.4797686607,14.5333547699, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
28,Ottabesk,ottabesk,Deep Core, , ,M-11,1693.6,-2388.97,66b7dc9ab14b46e63fa1a7b50d5b4785026208c9ff0a32847494740d3b4c3cec,0,0,1,2,ottabesk, , ,-20.9755736827,15.2138387324, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
29,Hakassi,hakassi,Deep Core, , ,M-11,1699.53,-2292.17,465dd12e300656bc070a0ccd52e1f97153609a801cfc8d3bebd7ab3065807f54,0,0,1,2,hakassi, , ,-20.1615040093,15.2671530025, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
30,Ebaq,ebaq,Deep Core, ,Treskov system,M-11,1592.06,-2148.44,70b3b120464d84635d41d0f63805616f0dcc24ec403d06d08a7edba2d1a1afa4,0,0,1,2,ebaq, , ,-18.9448182194,14.3016800306, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
31,Thoadeye,thoadeye,Deep Core, , ,M-11,1784.08,-1684.92,0d417a9bf73c970ca4c381169ef4261b0361ab90d21599c68f6ad520437a04de,0,0,1,2,thoadeye, , ,-14.9628333035,16.0266928737, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
32,Galactic Center,galactic center,Deep Core, , ,K-11,0,-2131.37,dbb709609749985e47ef7eb6cbd12a6fc34bc074abe7bde2219a682da2047782,0,0,1,2,galactic center, , ,-18.7997055995,0, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
33,Kokash,kokash,Core Worlds, , ,J-10,-1654.62,-982.53,2134161e1da1bb2d065005e015cb8a9a696ea3417039ab8258088643dae3715e,0,0,1,2,kokash, , ,-8.79148970547,-14.8637271282, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
34,Pollillus,pollillus,Core Worlds, ,Vannell system,J-10,-1519.95,-958.36,cb577766159ab0eb6c64beecf1415926c4e873fcf9a8e40cfe270f2f4751e2a3,0,1,1,2,pollillus, , ,-8.57684465988,-13.653977862, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
35,Osssorck Nebulae,osssorck nebulae,Core Worlds, , ,J-12,-1523.85,-4003.65,2151a738f508382e0ab4287740fdf0d9cda1ca28936af94e855ad2b28da9ca3f,0,0,1,2,osssorck nebulae, , ,-33.812490425,-13.6889534837, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
36,Questal,questal,Core Worlds, ,Questal system,J-12,-1766.12,-4107.22,abd62a3cf3e7c8ab4b79f1e7469922027cfdf1093c479a39efe3179dcd86196a,0,1,1,2,questal, , ,-34.5819902178,-15.865339959, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
37,Atrisia,atrisia,Core Worlds, , ,J-12,-1989.9,-4301.41,b49b70a09056a3163071b1a8399cb6dcffe329b740f5f9369e9baaaafcb09b95,0,1,1,1,kitel phard, , ,-36.0057214151,-17.8755900626, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
38,Inysh,inysh,Core Worlds, ,Inysh system,J-12,-1779.07,-4436.42,6cb0a99c2a705491272e21eb7c6b326d88e92997f7b19563f21a9ea08549ef69,0,0,1,2,inysh, , ,-36.9806962716,-15.98163542, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
39,Necropolis,necropolis,Core Worlds, , ,J-13,-1584.18,-4721.92,9694b64387242eaf3e0a7a9f803072c842e0c44bf3586519d7a63248c3537824,0,0,1,2,dahrtag, , ,-39.0017406079,-14.2309733975, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
40,Metellos,metellos,Core Worlds, ,Metellos system,K-9,-202.62,18.42,5de48e95cd385fb325f3743a5f3f9b72a670cd0daaee2e510e0fcdff473625a4,0,1,1,2,metellos, , ,0.165501918383,-1.82014849831, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
41,Xa Fel,xa fel,Core Worlds,Kanchen Sector,Xa Fel system,K-9,-1390.47,495.69,c5d7325d9b8bab226cffb3f137dc21f38a1038ab0545812aeaff3891a6bc5710,0,1,1,2,xa fel, , ,4.44838208364,-12.4908514061, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
42,Ragoon VI,ragoon vi,Core Worlds, , ,K-9,-1226.02,241.89,2f7935690d15c74bd5eb7b07cce160a809dadf1968b12017c98bf9aad640462e,0,0,1,2,ragoon, , ,2.1724250368,-11.0135614362, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
43,Merakai,merakai,Core Worlds, ,Merakai system,K-9,-925.83,769.32,a81b68fbce0725a632c44df514b332f5a28e5ca7e27f92863227a8cf94fa1f23,0,0,1,2,merakai, , ,6.89419138708,-8.31682869642, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
44,Denevar,denevar,Core Worlds, , ,K-9,-729.16,793.35,78f014c1bfa7878ad16f40627d65e184b36005040faa6ddcab5d5dd01d555b82,0,0,1,2,denevar, , ,7.10850397957,-6.55018764013, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
45,Pantolomin,pantolomin,Core Worlds, ,Panto system,K-9,-558.4,666.62,2f8b7f62e6d3650e412814db4b78ce74d7ad3a97fde7d86552a29526007abb79,0,1,1,1,pantolomin, , ,5.97743624579,-5.01619067354, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
46,Dachat,dachat,Core Worlds, , ,K-9,-888.16,568.2,cd08ad85122c8b1547cbad32d8890c5b506f014db1920fa3068889e2fd73cc94,0,0,1,2,dachat, , ,5.09752311015,-7.97852541609, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
47,Voon,voon,Core Worlds, ,Voon system,K-9,-556.67,552.67,2a11b59096a92be8433602284fa1a868a7e6fb61e78ec927668ce85d8b9c4e6f,0,0,1,2,voon, , ,4.95847382082,-5.00068106792, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
48,Hyabb,hyabb,Core Worlds, , ,K-9,-701.7,468.07,ab10e2182b8f2e372ebaf6e37e68acb0aedb5255a7c5c61d4e4d5c864403ab65,0,0,1,2,hyabb, , ,4.20093513202,-6.30348797052, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
49,Farrfin,farrfin,Core Worlds, ,Farrfin system,K-9,-377.45,780.47,1ce4358e41bdc4fc473651b932dcb815407c265c6ce5876b9bc1c64ffa6da8a7,0,0,1,2,farrfin, , ,6.99364958513,-3.39069780243, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
50,Twith,twith,Core Worlds, ,Twith system,K-9,-427.52,638.9,de6bd116d6bb4577f1c077852972d4efd980b480cfd18ceacf168cf6b8d267c1,0,0,1,2,twith, , ,5.72971952431,-3.84047637618, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
51,Scipio,scipio,Outer Rim,Albarrio Sector,Albarrio system,K-5,-967.99,7229.36,b64e55d651c9a9963ec3c4be6401d1103bdd2a1b6d6a6f48a45e4f65e43fd0f8,0,1,1,2,scipio, , ,54.3114273949,-8.69558907162, , ,New Territories,https://starwars.fandom.com/wiki/New_Territories
52,Galvoni III,galvoni iii,Core Worlds, , ,K-9,-225.52,443.8,ab47cffd098cedb2af2be46b172b61b86b8b906e9c5b8f9dce9f04d8a2fb1c01,0,0,1,2,galvoni, , ,3.9834949192,-2.02585247644, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
53,Weerden,weerden,Core Worlds, ,Weerden system,K-9,-206.53,271.15,7e5bae2dc4d16a77e4b8a9ff3d075b752806e218efb737e3269b8425d7cd009b,0,0,1,2,weerden, , ,2.43501406338,-1.85524681103, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
54,Tanjay IV,tanjay iv,Core Worlds, ,Tanjay system,K-9,-106.39,176.19,f6da6096d5abd67c189ec1ecf9a79b1cd3fa41835204fb097107d8896c7aeb2c,0,0,1,2,tanjay, , ,1.58251782406,-0.955689663525, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
55,Mamendin,mamendin,Core Worlds, , ,K-9,-139.19,880.61,a571f46a1856643e03c8f32ed2b6caa2ece52e667579687b888f6b69fca84d2b,0,0,1,2,mamendin, , ,7.8856247878,-1.25037217749, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
56,Tamban,tamban,Core Worlds, ,Tamban system,K-10,-1428.45,-682.11,7e65982c32dd14a50793c2e52fc3947160884bd39035ec4bc92b9d8603698bfc,0,0,1,2,tamban, , ,-6.11587336301,-12.8319687444, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
57,Aradia,aradia,Core Worlds, , ,K-10,-1354.21,-525,9c270b675729e3c9680d5c723a7e4eac950984bd8f712a9c4cf94f04eece1d18,0,0,1,2,aradia, , ,-4.71082977657,-12.1650556875, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
58,Cal-Seti,cal seti,Core Worlds, , ,K-10,-1109.04,-512.91,09e3a332cf88bdf614eea44870915af5dc97b907ba28090edf1f3b122b4d4cc2,0,0,1,2,cal-seti,calseti,cal seti,-4.60262093244,-9.96269163825, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
59,N'Zoth,n zoth,Core Worlds, ,N'zoth system,K-10,-1435.35,-866.51,9a8ae7f3b15766176f98e1f586df330c394f6fadc4ff0179b2c59c667c6db864,0,1,1,1,n'zoth,nzoth, ,-7.76017979109,-12.8940071687, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
60,Fresia,fresia,Core Worlds, ,Fre'ji system,K-10,-872.51,-442.13,daebca0a5c845d284cff6867b2191059f53be069bd6b90ee0a155aa1298efc3b,0,1,1,2,fresia, , ,-3.96850832432,-7.83787561893, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
61,Galand,galand,Core Worlds, , ,K-10,-803.45,-355.8,67dff00428338c59e053e2e98f623312e17ffd66da02c0837d1e2e9bd37437c7,0,0,1,2,galand, , ,-3.19454853038,-7.21749137976, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
62,Alland,alland,Core Worlds, , ,K-10,-689.5,-215.95,cdb95cb8af103a7ad5700ae1a43ce8d429c2c8cee7b6ba7ad3e6007a7646f03d,0,0,1,2,alland, , ,-1.9395563233,-6.1938573846, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
63,Worru'du,worru du,Core Worlds, , ,K-10,-579,-267.75,17715941186d96ca029044fe1b5c1dcb9b916cda1a83c5bcdfc628803739bf29,0,0,1,2,worru'du, , ,-2.40450893011,-5.20124260248, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
64,Salliche,salliche,Core Worlds, ,Salliche system,K-10,-385.63,-278.11,94df9cd6fb9ba701de3d6a9c2e72e2821dbdd1f028b6fce86aeba37a5e621c7c,0,1,1,2,salliche, , ,-2.49748142288,-3.46416673264, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
65,Norkronia,norkronia,Core Worlds, , ,K-10,-501.31,-102.43,471f3bd51c547ffa81bc56a9d8785921277c625252ed4a13f089eeeb882efdc2,0,0,1,2,norkronia, , ,-0.920130716946,-4.50331033342, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
66,Stassia,stassia,Core Worlds, , ,K-10,-199.16,-171.49,e5764f354a33c8c2821428b18cb81ebae313f6a6d003dedec98f6814743382e8,0,0,1,2,stassia, , ,-1.54036891847,-1.78912928617, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
67,Foerost,foerost,Core Worlds, ,Foerost system,L-10,5.87,-105.91,63d63fc80f2234fa47fbc0f677d818f82a92013472ff23b0f61aee0af2ec217f,0,1,1,2,foerost, , ,-0.951327038045,0.0527069353102, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
68,Ruan,ruan,Core Worlds, ,Ruan system,K-10,-0.61,-207.75,f6c82001e8245d5ac048a25a393c2ebc52b0f351f5a067c6eeace75d63ddea96,0,0,1,2,ruan, , ,-1.86592632022,-0.00552459857313, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
69,Galantos,galantos,Core Worlds, ,Utos system,K-10,-1418.65,-837.82,968f75f23f26ed255394b25a530993aab41131dce1cdad9c9ef2baaba9fadd22,0,0,1,2,galantos, , ,-7.50472036061,-12.7439480516, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
70,J't'p'tan,j t p tan,Core Worlds, , ,K-10,-1449.08,-848.4,e45c6f417ce3439b4db5c44b78c5201033c5727e06696c3f2e61df9ab73698fb,0,0,1,2,j't'p'tan,jtptan, ,-7.59896762026,-13.0172797385, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
71,Botor,botor,Core Worlds, , ,K-12,-57.93,-4056.06,5e6d26637249dcd78831c2e20e545ea30008950a4c21939c8d0d3e4a4da1b16c,0,1,1,1,botor, , ,-34.2027342087,-0.520374591971, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
72,Thracior,thracior,Core Worlds, ,Thracior system,K-12,-179.64,-4139.74,b586079f35f953c6c9dad949c41455127b97a8cc8c6ed5dc2e10ca769df8cccd,0,0,1,2,thracior, , ,-34.8221333878,-1.6137595916, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
73,Thebeon 8,thebeon 8,Core Worlds, , ,K-12,-471.53,-4488.2,ed22f26941d5d6219c790dc572c4b4aead55edd51869ff8c7af2ebb162897923,0,0,1,2,thebeon, , ,-37.3513927491,-4.23579390581, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
74,Gerrard V,gerrard v,Core Worlds, ,Gerrard system,K-12,-51.71,-4429.02,3d4e49c10429573f780d06c04f196a7b93727376b5c71930ef88d5c1bbcc9cbd,0,0,1,2,gerrard, , ,-36.9275913213,-0.464498257507, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
75,Daupherm,daupherm,Core Worlds, , ,K-12,-277.34,-4005.5,20f7154b0879b73be47b9ea5b6cdaeb6be44f87f5d78fcdebceb2a5fdfe52ea8,0,1,1,1,daupherm, , ,-33.8262929704,-2.49136199801, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
76,Loedorvia,loedorvia,Core Worlds, , ,K-12,-1313.01,-3643.01,2d5e3e3499c2079c727088173b50c991894610b9742a2fb8f6c7f6b9bf1183e6,0,0,1,2,loedorvia, , ,-31.079011568,-11.7949988402, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
77,Cortina,cortina,Core Worlds, , ,K-12,-902.44,-4155.3,178c783724d1841218883ae3939d6d9dc0184eeba3c3461c654395edeea9eb2b,0,0,1,2,cortina, , ,-34.9368627394,-8.10677137821, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
78,Abregado-rae,abregado rae,Core Worlds, ,Abregado system,K-13,-66.5,-4750.82,b01bc1e89483ce4d1d50bfbd086035c45ca6bb028dd71bbbb74becc3ac81ac82,0,1,1,1,abregado-rae,abregadorae,abregado rae,-39.203185727,-0.597407355406, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
79,Dentaal,dentaal,Core Worlds, , ,K-13,-64.65,-4887.68,28d5e9bdf87928982319cac8be5c6028e22a74d1e28fa315c16953ab0ed0dfd3,0,1,1,1,dentaal, , ,-40.149391941,-0.580793717608, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
80,Belgaroth,belgaroth,Core Worlds, ,Belgaroth system,K-13,-179.32,-5015.29,7e4fa4be4ce05dfa32db58a46d083f8b998c922e7086b64314b916f27f5ed513,0,0,1,2,belgaroth, , ,-41.0199546089,-1.61083922521, ,d,The Interior,https://starwars.fandom.com/wiki/The_Interior
81,Steelious,steelious,Core Worlds, , ,K-13,-279.19,-4863.63,f9ad05ae7a73986180c27b0a2473e63b04acf8c00bc8eee0a8558adf3fef84c5,0,0,1,2,steelious, , ,-39.9841057262,-2.50797563491, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
82,Cuvacia,cuvacia,Core Worlds, , ,K-13,-1398.09,-4564.03,1c1f950a2401095aae2f1f21dc702297e4fa9f8450cff59324d726e3fd1ed8d1,0,0,1,2,cuvacia, , ,-37.8909102454,-12.5592261529, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
83,Illodia,illodia,Core Worlds, ,Illodia system,K-13,-1095.24,-4963.27,382c0f4af6acc4206294c1235e65a65e3c7f7ddf980771a1fcbe6394e1da7b49,0,0,1,2,illodia, , ,-40.6664739776,-9.83874305834, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
84,Kidiet Olgo,kidiet olgo,Core Worlds, , ,L-9,77.95,891.64,8c718ea15d711ce5dc1c41e13ccece9157b8bce05ffc4fc064722d6d7d60a622,0,0,1,2,kidiet olgo, , ,7.98381840232,0.700272819652, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
85,Challon,challon,Core Worlds, , ,L-9,425.93,775.3,5c42b4bd2c1316c336b8a49a6dec14ed712481e6c9749fb5b4f1338737fe45fb,0,0,1,2,challon, , ,6.94754486569,3.82617631436, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
86,Shawken,shawken,Core Worlds, ,Shawken system,L-9,429.81,674.3,a3828fc78c1b659155a84276f8c6a94d148f0674f007cf83ddaa6203a9026a3e,0,0,1,2,shawken, , ,6.04606906554,3.86107292746, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
87,Velusia,velusia,Core Worlds, ,Velus system,L-9,104.8,538.33,d9a43a2d42706b675b329cbfc69bc68f21a2320905863ee02aaba0cc746b935b,0,1,1,2,velusia, , ,4.8302081367,0.941389601706, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
88,Thorgeld I,thorgeld i,Core Worlds, ,Thorgeld system,L-9,183.53,440.53,cb6c122a18b893c43b6fa9e5b1f1fd742ac8d388c29601745686dac6cbdf5737,0,0,1,2,thorgeld, , ,3.9542423926,1.64869225858, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
89,Thokos,thokos,Core Worlds, ,Thokos system,L-9,90.3,256.98,5490fa6ccc78c6076568292411a4c85c8d1e06bca186a66dd083c43a06fe8fcf,0,0,1,2,thokos, , ,2.30789581426,0.811173535349, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
90,Ralltiir,ralltiir,Core Worlds, ,Ralltiir system,L-9,1116.39,657.54,633ac3c90ba021b76c812374546cfe7afa82a1fb0ada791da3036df8613b8905,0,1,1,2,ralltiir, , ,5.89631364062,10.0287262396, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
91,Rhinnal,rhinnal,Core Worlds, ,Rhinnal system,L-9,1040.43,616.1,5e703029b7e93de13a6c66fceed5099b1e89214c11cfcc9fb7b2e4cf3a832193,0,0,1,2,rhinnal, , ,5.52593140708,9.34630357618, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
92,Esseles,esseles,Core Worlds, ,Essesia system,L-9,974.82,574.66,a6e3877a81787544247889772287a281e304e69ebc014c980f24831d0d104c86,0,0,1,2,esseles, , ,5.15531739039,8.75693854916, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
93,Brentaal IV,brentaal iv,Core Worlds, ,Brentaal system,L-9,907.48,538.41,482c314644d704801158cafaf8218e6701921a61e4a901eafe9e9d9d6cafff8c,0,1,1,1,brentaal, , ,4.83085207411,8.15206391561, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
94,Chandrila,chandrila,Core Worlds, ,Chandrila system,L-9,829.79,488.34,8861f9245b704c33b67316bf629c96ff9db2b9103d384377000a274ec8516323,0,1,1,2,chandrila, , ,4.38252766609,7.45413164655, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
95,Corulag,corulag,Core Worlds, ,Corulus system,L-9,745.19,443.45,8dd39faba742b390c5c86d42c5fb06ccde51fe48eb0e6c723b2fee2cfa418622,0,1,1,2,corulag, , ,3.9803521352,6.69416095321, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
96,Anaxes,anaxes,Core Worlds, ,Axum system,L-9,615.7,374.39,998b7f0f6ca34bba1c77d2f167c187c20b424d1e7a41bb63572c5eec1b830894,0,1,1,1,anaxes, , ,3.36124372612,5.53094050478, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
